cid,speed,card_name,attack,defense`,description
31,2010,草 / www,627,930,「笑える」「面白い」という意味で使われるネットスラング。(ｗ）を地面に生えた草に見立てたもの。初出は諸説あり。
32,2010,それな,444,340,相手の意見に同意する際に使う言葉。1990年代?2000年代頃から関西圏の女子中高生の間で使われ始め、2010年代にSNSを通じて全国に広まったとされる。
33,2016,推し,910,900,特にお気に入りで応援している人物やキャラクター。「推し」を応援する活動全般を指す「推し活」がブームとなり、2021年には新語・流行語大賞にノミネートされる。初出は1990年代のアイドルグループのファンコミュニティからといわれる。
34,2000,ROM（ロムる）,280,390,Read Only Memberの略。書き込みをせず、読む専門で参加すること。初出1990年代半ば。「半年ROMってろ」（まずは半年間書き込まずに他の人のやり取りを読みなさい）という使い方が有名。
35,2000,kwsk,270,130,ネットスラングで「詳しく」または「詳しく教えて」という意味。掲示板等でいやらしい話題になったとき「kwsk」（詳しく教えてください）という意味で用いられることが多い。
36,2000,ktkr,150,70,ネットスラングで「キタコレ」を意味します。待望の展開や嬉しいニュースが舞い込んだ時に使用される。
37,2000,wktk,55,40,ネットスラングで「ワクテカ」を意味します。期待に胸を膨らませて正座し、ドキドキして体がテカっている様子を表すアスキーアート（AA）の略称として広まる。
38,2006,ggrks,459,260,ネットスラングで「ググれカス」を意味します。検索エンジンの『Google』で検索してくださいという意味。初出2002年頃。
39,2010,陽キャ、陰キャ,666,670,「陽気なキャラクター」「陰気なキャラクター」の略。初出2000年代序盤。
40,1995,ネカマ,260,190,「ネットオカマ」の略で、現実世界では男性であるにもかかわらず、インターネット上で女性のフリをして活動する人のこと。初出は1980年代のパソコン通信時代とされる。
41,2016,エモい,570,460,感情が揺さぶられる、懐かしい、センチメンタルな気分になる様子。英語のエモーショナル（感情の、感動的な）に由来。2006年に出版された『みんなで国語辞典！』（大修館書店）。
42,2024,風呂キャンセル界隈,370,350,入浴やシャワーを「面倒くさい」と感じ、お風呂に入ることをやめてしまう人たちの総称
43,2012,パーソナルジム,115,180,専属のパーソナルトレーナーが利用者とマンツーマンで指導を行うフィットネスジム。初出、1980年代アメリカの富裕層向けに始まった。
44,2000,メンヘラ,480,570,ネットスラングで、心身の健康（メンタルヘルス）が不安定な状態の人を指す言葉。そういった状態にあることを「ヘラる」ともいう。
45,2008,承認欲求,740,840,人間の根源的な欲求として誰しもが生まれながらに持つもの。元ネタはアメリカの心理学者アブラハム・マズローが1943年に提唱した「欲求段階説」の「承認の欲求」から。「承認欲求」という言葉は1993年の日本経済新聞「子育てで満たされる承認欲求」という記事から。
46,2007,どげんかせんといかん,693,40,元宮崎県知事、東国原英夫氏が立候補表明や所信表明演説で宮崎県政の危機的状況を訴えるために使用したフレーズ。初出2006年。
47,2013,二刀流,940,740,一人の選手が公式戦において「投手」と「野手」の両方の役割をこなすプレースタイル、大谷翔平選手が有名。
48,2004,チョー気持ちいい,650,160,水泳の北島康介選手がアテネオリンピックで金メダルを獲得した際に使用したフレーズ。
49,2002,タマちゃん,500,80,2002年8月に多摩川に現れたオスのアゴヒゲアザラシ。
50,1995,Windows95,951,123,インターネットへの接続の容易さ、直感的なGUIとマウス操作の実現により、専門家のものだったコンピューターを一般家庭に普及させた立役者。
51,2020,迷惑系YouTuber,579,433,人や店舗に迷惑をかけることで知名度やアクセス数を得ようとする配信者のこと。
52,2010,インターネット老人会,160,143,ネット文化黎明期（1990年代?2000年代前半）を体験したユーザーたちが、当時の出来事を自虐的に語り合う際のコミュニティ的ニュアンス。
53,2024,猫ミーム,317,16,海外のTikTokやYouTubeで話題になった複数の「猫動画」の素材を組み合わせたもの。初出2019年。
54,2022,AI,825,960,「人工知能（AI）」の略で、初出は1956年。2022年に公開されたLLM（大規模言語モデル）ChatGPTによって流行。
55,2020,ドローン,750,840,初出は1930年代、イギリス軍が開発した世界初の本格的な無線操縦の無人標的機（ターゲット・ドローン）は、イギリスの「女王蜂（Queen Bee）」にちなんで命名された。
56,2005,mixi,394,30,2004年にオープンした招待制のソーシャル・ネットワーキング・サービス。日記やコミュニティ機能が充実し、人気を集めた。
57,2000,個人ホームページ,421,8,インターネットの普及とともに、HTMLを「手打ち」して作られる個人サイトが急増した。1億アクセスを超える『侍魂』のようなサイトも登場した。
58,2000,ReadMe!,356,5,小説や日記などの読み物を対象とした人気ランキングサイト。
59,2000,ハラスメント,910,860,相手の意に反する言動によって、不快感や精神的苦痛を与え、個人の尊厳や労働環境を害する「嫌がらせ」や「いじめ」。「ハラスメント」という言葉が注目を浴びたのは、1989年に起きた「日本初の職場セクハラ裁判」がきっかけ。
60,2000,コンプライアンス,590,673,1960年代のアメリカで、石油や鉄鋼産業における独占禁止法違反を防ぐための「法令遵守」の概念として登場。
61,2022,センシティブ,310,230,英語の「sensitive（敏感な、繊細な、神経質な）」に由来。慎重な扱いを要する性的な話題という文脈で使用される。
62,2017,バズる,530,640,2000年代初頭のIT・マーケティング業界で「バズ・マーケティング」という用語が使われ始めた時期に、英語の「buzz（ハチの羽音、ざわめき、噂）」を日本語の動詞化（?る）したことが始まりとされています。
63,2022,MBTI,431,327,1962年、イザベル・ブリッグス・マイヤーズらが、一般の人でも自身のタイプを理解できるように実用的な心理検査（MBTI）を完成。
64,2019,Z世代,341,378,1990年代後半から2010年代前半に生まれた世代。初出は1990年代半ばのアメリカ。
65,1994,氷河期世代,732,650,バブル崩壊後の就職環境の悪化を一過性のものではなく長期的・本格的な問題と捉えて名付けられた。初出はリクルート（当時）が発行していた大学生向け就職情報誌『就職ジャーナル』の1992年11月号。
67,2011,ドヤ顔,491,780,関西弁の「どや（どうや？」が語源で「勝ち誇った顔」の意。
